subject,Happy,Calm,Sad,AngryStressful,Familiar,title,Condition,Track_ID,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL
12,3,4,4,6,3,noMoreMissNice,Lyrics,16,36,57,38,25,37,85
12,4,6,7,1,1,goognightMoon,Melody,25,36,57,38,25,37,85
12,6,6,4,3,3,dream,Melody,27,36,57,38,25,37,85
12,2,7,8,1,1,everyTimeWeSayGoodbye,Melody,23,36,57,38,25,37,85
12,7,9,8,1,3,dream,Lyrics,11,36,57,38,25,37,85
12,8,9,2,1,4,silentMoon,Melody,26,36,57,38,25,37,85
12,1,1,8,9,3,toThisWeveCome,Lyrics,13,36,57,38,25,37,85
12,4,7,8,2,2,theCage,Melody,30,36,57,38,25,37,85
12,6,7,8,1,3,willowSong,Melody,22,36,57,38,25,37,85
12,7,9,4,1,3,bambi,Melody,24,36,57,38,25,37,85
12,5,9,4,1,7,goognightMoon,Lyrics,9,36,57,38,25,37,85
12,4,4,7,6,4,noMoreMissNice,Melody,32,36,57,38,25,37,85
12,3,9,7,1,3,iWishYouLove,Melody,28,36,57,38,25,37,85
12,1,6,9,6,9,theCrucifixion,Lyrics,5,36,57,38,25,37,85
12,4,4,5,7,2,owlAPussyCat,Melody,18,36,57,38,25,37,85
12,9,4,1,1,9,dancinInTheMoonlightC,Lyrics,3,36,57,38,25,37,85
12,6,6,4,2,8,takeYouAb,Melody,20,36,57,38,25,37,85
12,3,6,8,1,7,everyTimeWeSayGoodbye,Lyrics,7,36,57,38,25,37,85
12,8,7,3,1,8,onMusic,Lyrics,1,36,57,38,25,37,85
13,2,3,8,1,1,theCage,Melody,30,44,47,28,24,31,72
13,1,1,7,7,1,toThisWeveCome,Lyrics,13,44,47,28,24,31,72
13,7,7,2,1,1,onMusic,Lyrics,1,44,47,28,24,31,72
13,5,7,7,1,1,everyTimeWeSayGoodbye,Lyrics,7,44,47,28,24,31,72
13,5,8,5,1,5,goognightMoon,Lyrics,9,44,47,28,24,31,72
13,3,3,5,1,1,owlAPussyCat,Melody,18,44,47,28,24,31,72
13,7,3,1,1,1,takeYouAb,Melody,20,44,47,28,24,31,72
13,1,5,7,1,1,theCrucifixion,Lyrics,5,44,47,28,24,31,72
13,8,7,3,1,9,dream,Lyrics,11,44,47,28,24,31,72
13,6,5,1,1,5,dancinInTheMoonlightC,Lyrics,3,44,47,28,24,31,72
13,5,6,2,1,1,bambi,Melody,24,44,47,28,24,31,72
13,1,5,1,5,1,noMoreMissNice,Melody,32,44,47,28,24,31,72
13,1,7,6,1,1,iWishYouLove,Melody,28,44,47,28,24,31,72
13,5,6,5,1,1,silentMoon,Melody,26,44,47,28,24,31,72
13,6,7,5,1,1,willowSong,Melody,22,44,47,28,24,31,72
13,2,4,1,1,2,owlAPussyCat,Lyrics,2,44,47,28,24,31,72
13,5,6,1,1,9,dream,Melody,27,44,47,28,24,31,72
13,3,7,7,1,1,iWishYouLove,Lyrics,12,44,47,28,24,31,72
13,1,7,7,1,1,theCrucifixion,Melody,21,44,47,28,24,31,72
13,5,1,1,1,1,thatsAll,Lyrics,15,44,47,28,24,31,72
13,1,6,6,1,1,willowSong,Lyrics,6,44,47,28,24,31,72
13,5,6,5,1,1,silentMoon,Lyrics,10,44,47,28,24,31,72
13,7,1,1,1,1,takeYouAb,Lyrics,4,44,47,28,24,31,72
13,4,6,5,1,1,onMusic,Melody,17,44,47,28,24,31,72
13,2,7,7,1,2,everyTimeWeSayGoodbye,Melody,23,44,47,28,24,31,72
13,2,6,6,1,1,goognightMoon,Melody,25,44,47,28,24,31,72
13,1,1,1,6,6,noMoreMissNice,Lyrics,16,44,47,28,24,31,72
13,2,2,6,1,1,theCage,Lyrics,14,44,47,28,24,31,72
13,5,5,1,1,2,dancinInTheMoonlightC,Melody,19,44,47,28,24,31,72
13,5,5,1,1,1,thatsAll,Melody,31,44,47,28,24,31,72
13,4,5,5,1,1,bambi,Lyrics,8,44,47,28,24,31,72
13,1,1,1,7,1,toThisWeveCome,Melody,29,44,47,28,24,31,72
14,4,4,4,4,1,thatsAll,Melody,31,31,45,14,21,29,50
14,2,4,7,7,1,thatsAll,Lyrics,15,31,45,14,21,29,50
14,1,6,8,8,8,dream,Melody,27,31,45,14,21,29,50
14,2,6,8,8,1,willowSong,Lyrics,6,31,45,14,21,29,50
14,5,6,6,2,1,iWishYouLove,Lyrics,12,31,45,14,21,29,50
14,2,6,8,2,1,goognightMoon,Melody,25,31,45,14,21,29,50
14,5,4,4,4,1,bambi,Lyrics,8,31,45,14,21,29,50
14,4,3,1,7,1,owlAPussyCat,Lyrics,2,31,45,14,21,29,50
14,1,4,8,2,3,theCrucifixion,Melody,21,31,45,14,21,29,50
14,2,6,6,4,1,everyTimeWeSayGoodbye,Melody,23,31,45,14,21,29,50
14,6,6,3,3,1,onMusic,Melody,17,31,45,14,21,29,50
14,4,5,3,3,1,theCage,Lyrics,14,31,45,14,21,29,50
14,1,2,1,7,1,toThisWeveCome,Melody,29,31,45,14,21,29,50
14,2,2,2,8,3,noMoreMissNice,Lyrics,16,31,45,14,21,29,50
14,2,5,7,2,1,dancinInTheMoonlightC,Melody,19,31,45,14,21,29,50
14,6,7,4,1,1,silentMoon,Lyrics,10,31,45,14,21,29,50
14,1,2,1,7,1,takeYouAb,Lyrics,4,31,45,14,21,29,50
14,5,5,3,1,1,silentMoon,Melody,26,31,45,14,21,29,50
14,5,5,5,5,1,owlAPussyCat,Melody,18,31,45,14,21,29,50
14,8,7,5,1,3,iWishYouLove,Melody,28,31,45,14,21,29,50
14,7,7,1,1,3,willowSong,Melody,22,31,45,14,21,29,50
14,1,7,1,1,2,theCage,Melody,30,31,45,14,21,29,50
14,9,9,1,1,8,goognightMoon,Lyrics,9,31,45,14,21,29,50
14,2,2,2,8,1,toThisWeveCome,Lyrics,13,31,45,14,21,29,50
14,9,9,1,1,9,dream,Lyrics,11,31,45,14,21,29,50
14,8,1,1,1,8,dancinInTheMoonlightC,Lyrics,3,31,45,14,21,29,50
14,3,5,8,1,9,everyTimeWeSayGoodbye,Lyrics,7,31,45,14,21,29,50
14,4,5,6,5,1,theCrucifixion,Lyrics,5,31,45,14,21,29,50
14,4,5,1,1,8,onMusic,Lyrics,1,31,45,14,21,29,50
14,4,5,1,1,3,bambi,Melody,24,31,45,14,21,29,50
14,2,2,2,2,1,noMoreMissNice,Melody,32,31,45,14,21,29,50
14,5,5,5,5,1,takeYouAb,Melody,20,31,45,14,21,29,50
15,5,9,4,1,1,theCage,Melody,30,40,36,16,22,25,60
15,7,6,1,1,1,noMoreMissNice,Melody,32,40,36,16,22,25,60
15,4,5,6,1,1,iWishYouLove,Melody,28,40,36,16,22,25,60
15,5,5,4,1,3,dancinInTheMoonlightC,Lyrics,3,40,36,16,22,25,60
15,7,9,1,1,1,takeYouAb,Melody,20,40,36,16,22,25,60
15,5,5,1,1,1,bambi,Melody,24,40,36,16,22,25,60
15,1,5,5,1,1,theCrucifixion,Lyrics,5,40,36,16,22,25,60
15,1,1,1,1,1,toThisWeveCome,Lyrics,13,40,36,16,22,25,60
15,5,5,5,1,1,onMusic,Lyrics,1,40,36,16,22,25,60
15,5,5,4,3,1,goognightMoon,Lyrics,9,40,36,16,22,25,60
15,1,5,5,1,1,silentMoon,Melody,26,40,36,16,22,25,60
15,1,5,5,1,1,willowSong,Melody,22,40,36,16,22,25,60
15,9,9,1,1,5,dream,Lyrics,11,40,36,16,22,25,60
15,5,7,3,1,1,everyTimeWeSayGoodbye,Lyrics,7,40,36,16,22,25,60
15,5,5,5,5,5,owlAPussyCat,Melody,18,40,36,16,22,25,60
15,5,5,5,5,5,willowSong,Lyrics,6,40,36,16,22,25,60
15,5,5,5,1,7,dream,Melody,27,40,36,16,22,25,60
15,5,5,5,5,7,bambi,Lyrics,8,40,36,16,22,25,60
15,8,5,1,1,7,noMoreMissNice,Lyrics,16,40,36,16,22,25,60
15,5,9,1,1,5,iWishYouLove,Lyrics,12,40,36,16,22,25,60
15,5,5,1,1,1,dancinInTheMoonlightC,Melody,19,40,36,16,22,25,60
15,5,5,1,1,1,everyTimeWeSayGoodbye,Melody,23,40,36,16,22,25,60
15,1,9,1,1,1,theCage,Lyrics,14,40,36,16,22,25,60
15,9,9,1,1,1,takeYouAb,Lyrics,4,40,36,16,22,25,60
15,1,1,5,1,1,silentMoon,Lyrics,10,40,36,16,22,25,60
15,1,1,1,1,1,thatsAll,Lyrics,15,40,36,16,22,25,60
15,1,1,1,1,1,theCrucifixion,Melody,21,40,36,16,22,25,60
15,1,1,1,9,1,owlAPussyCat,Lyrics,2,40,36,16,22,25,60
15,1,1,1,1,3,thatsAll,Melody,31,40,36,16,22,25,60
15,1,1,1,1,1,goognightMoon,Melody,25,40,36,16,22,25,60
15,1,1,1,1,1,onMusic,Melody,17,40,36,16,22,25,60
15,1,1,1,9,1,toThisWeveCome,Melody,29,40,36,16,22,25,60
16,6,2,4,2,1,takeYouAb,Lyrics,4,37,44,34,13,28,64
16,5,8,4,2,3,silentMoon,Lyrics,10,37,44,34,13,28,64
16,4,6,6,2,1,goognightMoon,Melody,25,37,44,34,13,28,64
16,5,7,5,2,7,dream,Melody,27,37,44,34,13,28,64
