"","subject","rt","Happy","Calm","Sad","AngryStressful","Familiar","title","Condition","Track_ID"
"233",12,17724,7,7,3,3,1,"onMusic","Melody",17
"234",12,11345,5,8,6,1,1,"silentMoon","Lyrics",10
"235",12,8583,5,6,6,6,1,"theCage","Lyrics",14
"236",12,14432,9,6,1,1,9,"dancinInTheMoonlightC","Melody",19
"237",12,16601,7,4,1,1,9,"thatsAll","Melody",31
"238",12,11364,3,4,4,6,3,"noMoreMissNice","Lyrics",16
"239",12,18919,4,6,7,1,1,"goognightMoon","Melody",25
"240",12,22822,6,6,4,3,3,"dream","Melody",27
"241",12,13933,2,7,8,1,1,"everyTimeWeSayGoodbye","Melody",23
"242",12,11396,7,9,8,1,3,"dream","Lyrics",11
"243",12,11425,8,9,2,1,4,"silentMoon","Melody",26
"244",12,10413,1,1,8,9,3,"toThisWeveCome","Lyrics",13
"245",12,14439,4,7,8,2,2,"theCage","Melody",30
"246",12,9701,6,7,8,1,3,"willowSong","Melody",22
"247",12,16382,7,9,4,1,3,"bambi","Melody",24
"248",12,15718,5,9,4,1,7,"goognightMoon","Lyrics",9
"249",12,21305,4,4,7,6,4,"noMoreMissNice","Melody",32
"250",12,14573,3,9,7,1,3,"iWishYouLove","Melody",28
"251",12,13018,1,6,9,6,9,"theCrucifixion","Lyrics",5
"252",12,13661,4,4,5,7,2,"owlAPussyCat","Melody",18
"253",12,11066,9,4,1,1,9,"dancinInTheMoonlightC","Lyrics",3
"254",12,11276,6,6,4,2,8,"takeYouAb","Melody",20
"255",12,13012,3,6,8,1,7,"everyTimeWeSayGoodbye","Lyrics",7
"256",12,11637,8,7,3,1,8,"onMusic","Lyrics",1
"257",13,32921,2,3,8,1,1,"theCage","Melody",30
"258",13,14552,1,1,7,7,1,"toThisWeveCome","Lyrics",13
"259",13,15851,7,7,2,1,1,"onMusic","Lyrics",1
"260",13,12073,5,7,7,1,1,"everyTimeWeSayGoodbye","Lyrics",7
"261",13,20209,5,8,5,1,5,"goognightMoon","Lyrics",9
"262",13,17527,3,3,5,1,1,"owlAPussyCat","Melody",18
"263",13,11500,7,3,1,1,1,"takeYouAb","Melody",20
"264",13,21802,1,5,7,1,1,"theCrucifixion","Lyrics",5
"265",13,15303,8,7,3,1,9,"dream","Lyrics",11
"266",13,10814,6,5,1,1,5,"dancinInTheMoonlightC","Lyrics",3
"267",13,11470,5,6,2,1,1,"bambi","Melody",24
"268",13,13147,1,5,1,5,1,"noMoreMissNice","Melody",32
"269",13,9128,1,7,6,1,1,"iWishYouLove","Melody",28
"270",13,6632,5,6,5,1,1,"silentMoon","Melody",26
"271",13,9833,6,7,5,1,1,"willowSong","Melody",22
"272",13,14191,2,4,1,1,2,"owlAPussyCat","Lyrics",2
"273",13,10226,5,6,1,1,9,"dream","Melody",27
"274",13,10393,3,7,7,1,1,"iWishYouLove","Lyrics",12
"275",13,7094,1,7,7,1,1,"theCrucifixion","Melody",21
"276",13,9379,5,1,1,1,1,"thatsAll","Lyrics",15
"277",13,7492,1,6,6,1,1,"willowSong","Lyrics",6
"278",13,12588,5,6,5,1,1,"silentMoon","Lyrics",10
"279",13,11352,7,1,1,1,1,"takeYouAb","Lyrics",4
